dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
An alternative differential protection scheme for electrical microgrids,"Ferreira, Gisela Sousa",2024-05-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50924,,,Acesso Aberto,Fontes elétricas renováveis||Microrredes,Dissertação
An analytical model for IEEE 802.11ah networks under the restricted access window mechanism and Rayleigh fading channel,"Soares, Stephanie Miranda",2024-04-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50928,,,Acesso Aberto,Internet das Coisas (IoT)||Modelo analítico||Redes sem fio,Tese
An NS-3 module for simulation of Simultaneous Wireless Information and Power Transfer (SWIPT) over IEEE 802.11 networks,"França Junior, José Antônio de",2023-11-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48381,,,Acesso Aberto,Sustentabilidade energética||Internet das Coisas (IoT),Dissertação
Analysis and prediction of space weather events and their impacts on satellite communication systems,"Ferreira, Arthur Amaral",2023-07-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48356,,,Acesso Aberto,Comunicação por satélite||Cintilação||Distúrbios ionosféricos||Clima Espacial,Tese
Análise  comportamental do motor de indução trifásico submetido a desequilíbrios de tensão sob o ponto de vista de conjugado e rendimento,"Hollanda, Dante Luiz da Ros",2012-09-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12262,,Acesso Aberto,,Correntes elétricas||Máquinas elétricas||Motores elétricos de indução,Dissertação
Análise comparativa entre frameworks de conferência para implantação em um ambiente de uma operadora de telecomunicações,"Borges, Márcio Rodrigo",2008-02-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6181,,Acesso Aberto,,Telecomunicações,Dissertação
Análise comparativa entre interconexões de nanotubo de carbono e interconexões de cobre  para circuitos GSI/TSI,"Nogueira, Camila Peixoto da Silva Madeira",2012-09-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12636,,Acesso Aberto,,Nanotecnologia||Circuitos integrados - desempenho||Transistores,Dissertação
Análise comparativa técnica e econômica de usinas heliotérmicas e fotovoltaicas no Brasil,"Torres, Guilherme de Sousa",2021-03-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/41349,,,Acesso Aberto,Análise técnico-econômica||Usinas heliotérmicas||System Advisor Model||Energia solar||Viabilidade econômica,Dissertação
Análise da capacidade de canal para futuras redes de comunicação sem fio com rádio cognitivo e ondas milimétricas,"Mota, Kim Moraes",2015-08-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19717,http://dx.doi.org/10.26512/2015.08.D.19717,Acesso Aberto,,Telecomunicações - Brasil||Rádio cognitivo||Redes de comunicação||Rede de rádios cognitivos,Dissertação
Análise da disponibilização de arquitetura de software como serviço (SAAS - Software as a service) através de aliança estratégica : um estudo de caso,"Solari, Marcelo Lins Baia de",2008-10,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5178,,Acesso Aberto,,Engenharia de software||Competitividade,Dissertação
