dc.title[pt_BR],dc.contributor.author[pt_BR],dc.date.submitted,dc.description.unidade[pt_BR],dc.identifier.uri,dc.identifier.doi[pt_BR],dc.rights[en],dc.rights[pt_BR],dc.subject.keyword,dc.type[pt_BR]
Avaliação das proteções diferencial transversal e de distância aplicadas às linhas de transmissão de circuito duplo,"Serpa, Vitor Ribeiro",2020-12-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40602,,,Acesso Aberto,Proteção diferencial transversal||Proteção de distância||Linhas de transmissão - proteção diferencial,Dissertação
Avaliação de controle neural a um processo de quatro tanques acopladosAvaliação de controle neural a um processo de quatro tanques acoplados,"Oliveira, Júlio César Peixoto de",2009-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4507,,Acesso Aberto,,Redes neurais (Computação)||Sistemas não-lineares||Controle de processo,Tese
Avaliação de critérios de risco na negociação de contratos bilaterais de energia em centrais hidrelétricas de pequeno porte - PCH,"Masukawa, Frederick Takayuki",2011-06-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9766,,Acesso Aberto,,Energia elétrica - produção||Contratos||Usinas hidrelétricas,Dissertação
Avaliação de distorções harmônicas e inter-harmônicas de um sistema de conversão de energia eólica com gerador síncrona,"Silveira, João Pedro Carvalho",2016-07-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22216,http://dx.doi.org/10.26512/2016.07.D.22216,Acesso Aberto,,Energia - fontes alternativas||Qualidade da energia||Conversores de corrente elétrica||Energia eólica||Sistemas eólicos,Dissertação
Avaliação de misturadores espectrais para sinais de voz no canal rádio móvel,"Sampaio, José Fabrizio Pereira",2004-07-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/31467,http://dx.doi.org/10.26512/2004.07.D.31467,,Acesso Aberto,Processamento digital de sinais||Rádio - transmissores e transmissão||Espectro de radiofrequências,Dissertação
Avaliação de redes de próxima geração para serviços IPTV com base em IMS  e WIMAX  : um estudo de caso,"Carozza, Marcos Paulo",2011-09-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10119,,Acesso Aberto,,Redes de computação||Arquitetura de redes de computadores||Redes de computação - protocolos||Internet||Redes e sistemas distribuídos||Engenharia eletrônica||Comunicações digitais,Dissertação
Avaliação de relés microprocessados reais aplicados na proteção de linhas de transmissão de interconexão de parques eólicos,"Costa, Jônatas Siqueira",2021-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/43115,,,Acesso Aberto,Geração de energia eólica||Linhas de transmissão||Proteção fasorial||Proteção no domínio do tempo||Relés de proteção,Dissertação
Avaliação do atraso eletromecânico por meio das ativações neural e muscular,"Costa Filho, Wagner Leão",2014-09-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17286,,Acesso Aberto,,Eletromiografia de superfície||Ativação neural||Atraso eletromecânico||Ativação muscular,Dissertação
Avaliação do Desempenho de Transformadas Sobrepostas nos Codificadores Padrão JPEG2000 E H.264/AVC,"Oliveira, Rafael Galvão de",2008-03,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5095,,Acesso Aberto,,"Imagens, ilustrações, etc.||Processamento de imagens||Wavelets (Matemática)||Processamento de sinais",Dissertação
Avaliação do serviço de perícia criminal baseada em confiança institucional,"Garcia, Carlos Kleber da Silva",2012-01-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11379,,Acesso Aberto,,Perícia (Exame técnico) - avaliação||Aprendizagem organizacional||Organização - confiança||Tecnologia da informação - administração,Dissertação
Avaliação dos controles Sarbox da gerência de operações de TI de uma empresa provedora de serviços de telecomunicações,"Damázio, Layany Zambrano Horta",2008-05-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1349,,,Acesso Aberto,Telecomunicações||Tecnologia da informação,Dissertação
Avaliação dos efeitos sobre os estimadores eletromiográficos de diversos métodos de filtragem da interferência da rede elétrica,"Pedroso, Luís Júlio de Gusmão Rocha",2013-03-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/14693,,Acesso Aberto,,Eletromiografia||Interferência eletromagnética||Filtros e filtração,Dissertação
Avaliação dos riscos de liquidação de energia associados à sazonalização de garantia física de pequenas centrais hidrelétricas,"Ribeiro, Rafael Costa",2012-06-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11367,,Acesso Aberto,,Energia elétrica - comercialização||Usinas hidrelétricas||Avaliação de riscos,Dissertação
Avaliação e minimização numérica do desequilíbrio de tensão : estimativa por análise de sensibilidade incremental e soluções analíticas,"Garcia, Diogo Caetano",2007-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3068,,Acesso Aberto,,Energia elétrica - distribuição||Energia elétrica - transmissão||Engenharia elétrica,Dissertação
Avaliação experimental do plano alfa generalizado aplicado na proteção diferencial de barramentos,"Pedrosa, João Vitor Leite",2020-12-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40544,,,Acesso Aberto,Barramentos||Proteção diferencial||Plano alfa generalizado,Dissertação
Avaliação qualitativa para apoio à decisão em projetos de convergência fixo-móvel,"Rios, Cristiano Augusto",2007,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/2424,,Acesso Aberto,,Planejamento estratégico||Processo decisório||Avaliação de projetos||Convergência fixo-móvel,Dissertação
Avaliação técnico-econômica de um sistema híbrido de geração distribuída para o atendimento a comunidades isoladas da AmazôniaAvaliação técnico-econômica de um sistema híbrido de geração distribuída para o atendimento a comunidades isoladas da Amazônia,"Severino, Mauro Moura",2008-08-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6902,,Acesso Aberto,,Energia elétrica - distribuição||Energia elétrica - aspectos econômicos,Tese
Avalição de desempenho de protocolos de autenticação para redes sem fio heterogêneas,"Trineto, José Benício Menezes",2016-03-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20601,http://dx.doi.org/10.26512/2016.03.D.20601,Acesso Aberto,,Redes heterogêneas||Protocolos de autenticação||Rede sem fio,Dissertação
"Banco de dados em memória principal, um estudo de caso : Oracle timesten solução de alto desempenho","Pereira, Renato Costa",2010,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34339,,,Acesso Aberto,Banco de dados||ORACLE (Sistema de computador),Dissertação
Beamforming techniques for next generation communication systems,"Miranda, Ricardo Kehrle",2017-03-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/24564,http://dx.doi.org/10.26512/2017.03.T.24564,,Acesso Aberto,Processamento de sinais||Comunicações digitais||Sistemas de comunicação||Banda larga,Tese
A benchmark for assessing nanosatellite on-board computer power-efficiency and performance,"Melo, Ana Carolina Cabral Pimentel de",2019-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38221,,,Acesso Aberto,Computador de bordo||Eficiência energética||Nanossatélites||Benchmarking,Dissertação
Calibração de dispositivos a cores utilizando uma camera digital,"Leite, Frederico Nogueira",2006-12-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6897,,Acesso Aberto,,Cores||Fotografia - equipamento e acessórios,Dissertação
Call center próprio ou terceirizado : comparações utilizando simulações com sistemas dinâmicos,"Sonntag, Alexandre Arnaldo",2008-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1041,,,Acesso Aberto,Telemarketing||Terceirização,Dissertação
Caracterização de canais sem fio em ambientes generalizados de desvanecimento,"Pinheiro, Júlio César de Mello",2012-06-25,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11357,,Acesso Aberto,,Propagação||Sistemas de comunicação sem fio,Dissertação
Caracterização de tráfego em uma rede San-ip utilizando protocolo ISCSI,"Postai, Lócio Fernando",2010-10-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8155,,Acesso Aberto,,Internet||Redes de computação - protocolos,Dissertação
Caracterização e capacidade de canais sem fio entre plataforma HAPs e receptor terrestre,"Gonçalves, Raquel Mendonça",2018-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34030,,,Acesso Aberto,Comunicação||Capacidade ergódica||Plataformas HAPs,Dissertação
Caracterização elétrica de dispositivos e circuitos integrados,"Guimarães, Hélder Henrique",2008-08-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3384,,Acesso Aberto,,Circuitos integrados,Dissertação
Caracterização estatística de canais sem fio e predição de cobertura na faixa de 450 MHz com aplicação em redes celulares LTE,"Ferreira, Carolina Azevedo Guedes",2015-08-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18962,http://dx.doi.org/10.26512/2015.08.D.18962,Acesso Aberto,,Canais de comunicação||LTE 450MHz||Rede móvel||Sistemas de comunicação,Dissertação
Cateter esofágico para medição de temperatura durante procedimento de ablação cardíaca por rádiofrequência (RF),"Sousa, Rui Alves de",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4390,,Acesso Aberto,,Radiofrequência||Calor - transmissão||Instrumentos e aparelhos médicos,Dissertação
Cálculo e avaliação de índices da sensibilidade do barorreflexo e variabilidade da frequência cardíaca,"Dias, Victor Hugo Costa",2017-01-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/23210,http://dx.doi.org/10.26512/2017.01.D.23210,Acesso Aberto,,Variabilidade da freqüência cardíaca||Cardiomiopatia||Sistema nervoso autônomo||Sistema cardiorrespiratório,Dissertação
Channel modeling for through-the-earth (TTE) communication systems,"Carreno, Josua Daniel Pena",2016-02-19,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20092,http://dx.doi.org/10.26512/2016.02.D.20092,Acesso Aberto,,Canais de comunicação||Condutividade térmica||Comunicação subterrânea||Campo magnético,Dissertação
Characterization of amputee gait using a biomechanical approachCharacterization of amputee gait using a biomechanical approach,"Ochoa Diaz, Claudia Patricia",2015-08-12,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/19613,http://dx.doi.org/10.26512/2015.08.T.19613,Acesso Aberto,,Marcha de amputado||Biomecânica||Membros inferiores,Tese
Circulador construído com laço acoplado de ressoadores modulados,"Sousa, Eduardo Gonçalves",2019-02-08,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/35344,,,Acesso Aberto,Circulador||Ferritas||Imã||Acoplamento eletrônico,Dissertação
Classificação de ambientes prediais para usuários utilizando tags RFID ativas e filtro de Kalman,"Silva Júnior, Cristovam Albano da",2012-08-21,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/12556,,Acesso Aberto,,"Radiofrequência||Kalman, filtragem de||Redes neurais (Computação)||Aprendizado do computador",Dissertação
Classificação de imagens com artefatos de compressão : uma abordagem fim-a-fim,"Reis, Andrey Otacílio Oliveira dos",2024-05-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50925,,,Acesso Aberto,Redes neurais (Computação)||Imagens - classificação||Compressão de dados,Dissertação
Classificação de imagens de pornografia e pornografia infantil utilizando recuperação de imagens baseada em conteúdo,"Carvalho, Itamar Almeida de",2012-02-15,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10914,,Acesso Aberto,,Processamento de imagens||Reconhecimento de padrões||Crime por computador - pornografia||Crime sexual contra a criança,Dissertação
Classificação de intoxicação alcoólica por sinais de voz e algoritmos genéticos,"Leoni, Gleison Marques Lemos",2016-12-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22911,http://dx.doi.org/10.26512/2016.12.D.22911,Acesso Aberto,,Intoxicação||Algoritmos genéticos||Aprendizagem de máquina||Álcool - efeito fisiológico||Análise espectral||Sistema nervoso central,Dissertação
Classificador de tráfego e selecionador de paradigma de comutação para redes ópticas híbridas,"Silva, Ana Carolina de Oliveira da",2014-08-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/16936,,Acesso Aberto,,Redes ópticas de transmissão||Comutação por circuitos (Transmissão de dados)||Comutação por rajadas (Transmissão de dados)||Comutação por pacotes (Transmissão de dados)||Lógica difusa,Dissertação
Codificador de geometria de nuvens de pontos sem perdas com seleção de contextos Silhouette 4D,"Silva, Evaristo Ramalho Lucchezi da",2021-09-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/42616,,,Acesso Aberto,Nuvens de Pontos||Processamento de imagens||Codificação aritmética||Compressão de imagem||Algoritmos de computador,Dissertação
Codificador distribuído de vídeo com complexidade variável a partir de codificação em resolução espacial mista.Codificador distribuído de vídeo com complexidade variável a partir de codificação em resolução espacial mista.,"Espinoza, Bruno Luiggi Macchiavello",2010-03-03T22:56:44Z,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3865,,Acesso Aberto,,Teoria da codificação,Tese
Codificador H.264/AVC com compensação de movimento baseada em partições alternativas de macrobloco,"Ferreira, Renan Utida",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4142,,Acesso Aberto,,Teoria da codificação||Processamento de imagens||Eletrodinâmica,Dissertação
Comparação de abordagens de proteção à cadeia de suprimento de software,"Zottmann, Carlos Eduardo Miranda||Gondim, João José Costa||Amaral, Thiago Melo Stuckert do||Silva, Edvan Gomes da||Nunes, Rafael Rabelo",,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51768,,,Acesso Aberto,Cadeia de suprimento de software||Riscos cibernéticos||Ataques cibernéticos||Segurança cibernética,Artigo
Comparação de técnicas de medição de potência reativa sob condições não-senoidais com ênfase na transformada Wavelet,"Vieira, Daniel",2012-03-09,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/10530,,Acesso Aberto,,Wavelets (Matemática)||Computação - matemática,Dissertação
Comparative analysis of the results from two different frequency grouping methods on the currents and temperatures of an induction motor submitted to harmonics and interharmonics : laboratory tests,"Abada, Christian Chukwuemeka",2018-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34269,,,Acesso Aberto,Motor de indução trifásico||Método de agrupamento de frequência||Harmônicas||Inter-harmônicas||Correntes elétricas,Dissertação
Comparing software supply chain protection approaches,"Zottmann, Carlos Eduardo Miranda||Amaral, Thiago Melo Stuckert do||Nunes, Rafael Rabelo||Gondim, João José",,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/51770,10.1109/WCNPS60622.2023.10344631,,Acesso Restrito,Cadeia de suprimentos de software||Taxonomia||Segurança cibernética,Trabalho apresentado em evento
"A comparison of dynamic cooperation clustering algorithms and pilot assignment methods on performance, complexity and fairness of user centric mimo uplink","Bigonha, Antonio Bittar",2024-06-28,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/50923,,,Acesso Aberto,Pontos de acesso||Escalabilidade,Dissertação
Comparisons of filtering methods for attitude determination of microsatellites,"Loiola, João Victor Lopes de",2018-07-31,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34004,,,Acesso Aberto,Filtro de Kalman Estendido (FKE)||Filtro de Kalman||Determinação da orientação,Dissertação
Compensação de movimento utilizando módulos multi-escala e forma variável em um CODEC de vídeo híbrido,"Hung, Edson Mintsu",2007-07-24,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/3382,,Acesso Aberto,,Engenharia elétrica||Eletrônica,Dissertação
Compressão de documentos compostos utilizando o H.264/AVC-INTRACompressão de documentos compostos utilizando o H.264/AVC-INTRA,"Zaghetto, Alexandre",2009-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5994,,Acesso Aberto,,Processamento de imagens||Documentos - compressão||Documentos eletrônicos,Tese
Compressão de sinais de eletromiografia explorando correlação bidimensional,"Costa, Marcus Vinícius Chaffim",2008-03-07,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/1550,,Acesso Aberto,,Engenharia elétrica||Eletromiografia||Processamento de imagens - técnicas digitais||Wavelets (Matemática),Dissertação
Compressão de sinais de S-EMG utilizando técnicas bidimensionaisCompressão de sinais de S-EMG utilizando técnicas bidimensionais,"Costa, Marcus Vinícius Chaffim",2014-03-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20222,,Acesso Aberto,,Processamento digital de sinais||Eletromiografia de superfície||Correlação bidimensional||Campos estocásticos,Tese
Compressão de sinais de tensão e corrente com distúrbios em redes de distribuição de energia elétrica,"Gontijo, Luiz Fernando da Costa",2020-09-21,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/40233,,,Acesso Aberto,Sistemas de energia elétrica||Quantização por Alocação Dinâmica de Bits||Energia elétrica - distribuição||Compressão de dados||Processamento de sinais||Redes inteligentes||Energia elétrica - distúrbios,Dissertação
Compressão de sinais eletromiográficos usando codificador multitaxa preditivo adaptativo,"Cavalcante, José Haroldo de Assis",2009-02-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4478,,Acesso Aberto,,Eletromiografia||Engenharia elétrica,Dissertação
Compression of point clouds attributes,"Sandri, Gustavo Luiz",2019-12-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/38462,,,Acesso Aberto,Nuvem de pontos||Compressão||Compressão de imagem,Tese
Comunicações IMT-2020 : interferência e compartilhamento de frequência em ondas milimétricas,"Queiroz, Calil Bento",2019-05-27,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/35945,,,Acesso Aberto,Interferência eletromagnética||Sistemas de comunicação sem fio||Serviço de satélite fixo||Ondas milimétricas,Dissertação
Confiabilidade de dados em ambientes de business intelligence : uma abordagem fuzzy baseada em taxonomias de problemas de qualidade,"Almeida, Wesley Gongora de",2012-03-16,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/11378,,Acesso Aberto,,Confiabilidade (Engenharia)||Armazenamento de dados||Inteligência competitiva (Administração)||Lógica difusa,Dissertação
Construção de um corpus para extrair entidades nomeadas do Diário Oficial da União utilizando aprendizado supervisionado,"Alles, Vanderlei Jandir",2018-12-17,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34901,,,Acesso Aberto,Linguística - processamento de dados||Aprendizagem de máquina||Entidades nomeadas - reconhecimento||Entidades nomeadas - extração,Dissertação
Construção de uma arquitetura técnica para melhoria da gestão de Hospitais Universitários Federais,"Simões, Alex Pitacci",2011-05-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/9319,,Acesso Aberto,,Tecnologia da informação||Hospitais - administração,Dissertação
"Contexto regulatório, técnico e as perspectivas brasileiras em Redes Elétricas Inteligentes aplicadas em concessões de distribuição","Silva, Lorena Melo",2016-06-29,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/21631,http://dx.doi.org/10.26512/2016.06.D.21631,Acesso Aberto,,Redes inteligentes||Concessões administrativas||Redes elétricas||Setor elétrico - Brasil,Dissertação
Contratos REST robustos e leves : uma abordagem em design-by-contract com NeoIDL,"Lima, Lucas Ferreira de",2016-07-11,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/22101,http://dx.doi.org/10.26512/2016.07.D.22101,Acesso Aberto,,Computação orientada a serviços (SOC)||Design||Contratos REST,Dissertação
Contribuição ao desenvolvimento do sistema de gestão de qualidade do laboratório de certificação de equipamentos eletromédicos da Universidade de Brasília para o escopo em segurança elétrica,"Narvaez Rodriguez, Alexander",2013-12-06,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/17507,,Acesso Aberto,,Sistema de gestão da qualidade||Equipamentos eletromédicos||Laboratórios médicos||Segurança elétrica,Dissertação
Contribuição à estabilidade transitória de sistemas elétricos industriais de unidades estacionárias de produção de petróleo,"Souza, André Santos de",2015-10-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/20634,http://dx.doi.org/10.26512/2015.10.D.20634,Acesso Aberto,,Sistemas industrial||Estabilidade||Unidade estaciónaria de produção||Motor de indução,Dissertação
Contribuições ao estudo da exposição humana a campos eletromagnéticos na faixa de radiofrequênciasContribuições ao estudo da exposição humana a campos eletromagnéticos na faixa de radiofrequências,"Souza Filho, Agostinho Linhares de",2015-03-02,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18524,http://dx.doi.org/10.26512/2015.03.T.18524,Acesso Aberto,,Eletromagnetismo||Antenas (Eletrônica)||Propagação de ondas eletromagnéticas||Campos eletromagnéticos||Radiação não-ionizante,Tese
Contributions on BI systems based on big data and predictive analytics integrated with an etl process,"Serrano, Antonio Manuel Rubio",2014-06-30,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/18208,,Acesso Aberto,,Previsão||Armazenamento de dados,Dissertação
Control of fixed wing unmanned aerial vehicles in autonomous variable shape formation flight,"Cordeiro, Thiago Felippe Kurudez",2018-11-22,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/34734,,,Acesso Aberto,Veículos aéreos não tripulados||Controladores para voo||Inversão não linear,Tese
Controle axial de juntas rotacionais em manipuladores robóticos : implementação com microcontroladores,"Els, Rudi Henri Van",1994,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/5469,http://dx.doi.org/10.26512/1994.D.5469,Acesso Aberto,,Controle axial||Manipuladores robóticos||Juntas rotacionais||Engenharia elétrica,Dissertação
Controle da razão entre a potência de pico e a potência média (PAPR) no enlace direto de sistemas WiMAX,"Mendes, Guilherme Guimarães",2010-08-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/8265,,Acesso Aberto,,Engenharia elétrica,Dissertação
Controle de consenso para formação de robôs multiagentes,"Borges, Natalia Oliveira",2023-12-01,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48387,,,Acesso Aberto,Robôs móveis||Controle de consenso,Dissertação
Controle servo-visual para aproximação de portas por robôs móveis equipados com duas câmeras,"Bernardes, Mariana Costa",2009-04,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4301,,Acesso Aberto,,Mecatrônica||Robôs móveis||Visão por computador,Dissertação
Controller placement and radio resource allocation for D2D communications in 5G Wireless networks,"Peña Llerena, Yarisley",2022-12-20,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/46341,,,Acesso Aberto,Comunicação device-to-device||Redes celulares||5G,Tese
"Convergência telecomunicações - TI, um caso prático : framework de operações de uma empresa provedora de serviços de telecomunicações","Brambila, Gustavo Roberto",2008-05-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/6179,,Acesso Aberto,,Telecomunicações||Tecnologia da informação||Gerência da informação,Dissertação
Conversor tensão-corrente em tecnologia cmos para um conversor analógico/digital de um sistema em chip,"Araújo, Genival Mariano de",2008-12-05,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4015,,Acesso Aberto,,Circuitos elétricos||Engenharia elétrica||Circuitos integrados,Dissertação
Convivência entre sistemas IMT-2020 e TVRO em Banda C,"Bakaus, Tarcísio Aurélio",2022-09-13,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),https://repositorio.unb.br/handle/10482/45348,,,Acesso Aberto,Sistemas de comunicação móvel||5G||Recepção doméstica de televisão via satélite,Dissertação
Criptoanálise de protocolos direcionados a dispositivos de baixo poder computacionalCriptoanálise de protocolos direcionados a dispositivos de baixo poder computacional,"Barbosa, Jose Antônio Carrijo",2009,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/4985,,Acesso Aberto,,Algoritmos de computador - criptografia de dados (Computação)||Engenharia elétrica - telecomunicações,Tese
Cross-domain deep face matching for banking security systems,"Oliveira, Johnatan Santos de",2018-05-23,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/33033,,,Acesso Aberto,Sistema bancário||Sistemas de segurança||Reconhecimento de face||Segurança da informação||Aprendizagem de máquina||Redes neurais (Computação),Dissertação
CSRR DGS-Based bandpass negative group delay circuit design,"Qizheng Ji||Taochen Gu||Zhiliang Gao||Ming Yang||Yafei Yuan||Hongyu Du||Fayu Wan||Murad, Nour Mohammad||Fontgalland, Glauco||Silva, Hugerles Sales||Ravelo, Blaise",,Faculdade de Tecnologia (FT)||Departamento de Engenharia Elétrica (FT ENE),http://repositorio.unb.br/handle/10482/48056,10.1109/ACCESS.2023.3249968,,Acesso Aberto,Circuitos eletrônicos||Comunicação sem fio||Microondas,Artigo
