dc.title[pt_BR],dc.identifier.uri,dc.date.issued[pt]
"Acanthospermum australe é hospedeiro alternativo de Thanatephorus cucumeris, agente causal da mela do feijoeiro||Acanthospermum australe is an alternate host of Thanatephorus cucumeris, the causal agent of web blight on dry beans",http://repositorio.unb.br/handle/10482/26884,2007
Ciência da informação : 32 anos (1972-2004) no caminho  da história e horizontes de um periódico científico brasileiro,http://repositorio.unb.br/handle/10482/918http://repositorio.unb.br/handle/10482/918,2005
"International negotiations : a possible concept, efficacy and efficiency in the process",http://repositorio.unb.br/handle/10482/31888,2010-06
Agronegócio e mercado de trabalho nos cerrados piauienses : precarização e seletividade,http://repositorio.unb.br/handle/10482/50948,2023
O autorrelato na pesquisa em psicologia da saúde : desafios metodológicos,http://repositorio.unb.br/handle/10482/6028,2009
Goegraphical representation of spatial planning : a survey of six  strategic environmental assessments (SEA) of transportation plans in Latin America,https://repositorio.unb.br/handle/10482/39377,2016-06-28
Reconhecimento de fala em idosos : proposta de um teste considerando a previsibilidade da palavra,http://repositorio.unb.br/handle/10482/30490,2016-04
Democratas na presidência : qual a política externa inicial?,http://repositorio.unb.br/handle/10482/21876,2009-01
"Meios de comunicação, voto e conflito político no Brasil",http://repositorio.unb.br/handle/10482/21405,2013-02
O processo de internacionalização das empresas brasileiras : o caso de Sergipe,http://repositorio.unb.br/handle/10482/21747,2006-05
Dimensões psíquicas e sociais da criança e do adolescente em situação de rua,http://repositorio.unb.br/handle/10482/6123,1998
Fístula arteriovenosa após escleroterapia com espuma guiada por ultrassom : relato de caso,http://repositorio.unb.br/handle/10482/29871,2015-07
Discovery of small molecule inhibitors of the interaction of the thyroid hormone receptor with transcriptional coregulators,http://repositorio.unb.br/handle/10482/13219,2005-12
"Escala de Urgência com o Tempo e Ocupação Constante : adaptação, validade e versão reduzida",http://repositorio.unb.br/handle/10482/29645,2015-10
"Power, networks and ideology in the field of development",http://repositorio.unb.br/handle/10482/17612,2005
Aptidão física relacionada à saúde de adolescentes participantes de programa esportivo,http://repositorio.unb.br/handle/10482/29413,2014
Caracterização genética de espécies de Passiflora por marcadores moleculares análogos a genes de resistência,http://repositorio.unb.br/handle/10482/6768,2010-03
Response to open peer commentaries on “Privacy and Health Practices in the Digital Age”,https://repositorio.unb.br/handle/10482/45105,2022-10-06
"Temporal change in species and functional plant traits in the moist grassland on the Sete Cidades National Park, Piauí, Brazil",http://repositorio.unb.br/handle/10482/29393,2014-02
Radiação gama e resistividade elétrica em solo com aplicação de carbonatito e fertilizantes agrícolas no Distrito Federal,http://repositorio.unb.br/handle/10482/6709,2008-01
Identificação regional da Floresta Estacional Decidual na bacia do Rio Paranã a partir da análise multitemporal de imagens MODIS,http://repositorio.unb.br/handle/10482/7922,2006-07
Avaliação de políticas públicas de segurança alimentar e combate à fome no período 1995-2002 : 2 - Programa de Alimentação do Trabalhador,http://repositorio.unb.br/handle/10482/26942,2007
Bilateral lamellar keratoplasty in descemetocele treatment in dog with botulism by use of equine renal capsule and conjunctival pedicle graft,http://repositorio.unb.br/handle/10482/9134,1999-05
Treinamento e desenvolvimento : reflexões sobre suas pesquisas científicas,http://repositorio.unb.br/handle/10482/1123,1996
Avaliação da adesão ao tratamento anti-hipertensivo em pacientes atendidos na Unidade de Saúde de Cocalzinho de Goiás,http://repositorio.unb.br/handle/10482/11611,2010
Biologia comparativa e comportamento alimentar de Rhodnius neglectus e Rhodnius robustus (Triatominae) sob condições de laboratório,http://repositorio.unb.br/handle/10482/22651,2011-07
Accelerating the biodegradation of poly(lactic acid) through the inclusion of plant fibers : a review of recent advances,http://repositorio.unb.br/handle/10482/48497,2023-10-10
O enfoque social da segurança da informação,http://repositorio.unb.br/handle/10482/939http://repositorio.unb.br/handle/10482/939,2006
"Isolation, identification, and screening of lactic acid bacteria with probiotic potential in silage of different species of forage plants, cocoa beans, and artisanal salami",https://repositorio.unb.br/handle/10482/41513,2021
A influência da atividade física regular sobre o autoconceito,http://repositorio.unb.br/handle/10482/25793,2001-12
Development of a multivariable predictive model for postoperative nausea and vomiting after cancer surgery in adults,https://repositorio.unb.br/handle/10482/36217,2019
"Avaliação das propriedades físicas, químicas, mecânicas e de superfície de lâminas de paricá (Schizolobium amazonicum Huber ex. Ducke)",http://repositorio.unb.br/handle/10482/29085,2013
Two-stage inference in experimental design using dea : an application to intercropping and evidence from  randomization theory,http://repositorio.unb.br/handle/10482/12611,2008
Diretrizes brasileiras para o tratamento farmacológico da fibrose pulmonar idiopática . Documento oficial da Sociedade Brasileira de Pneumologia e Tisiologia baseado na metodologia GRADE,https://repositorio.unb.br/handle/10482/40464,2020
Urban lignocellulosic waste as biofuel : thermal improvement and torrefaction kinetics,https://repositorio.unb.br/handle/10482/45179,2022-08-12
Access to medicines by patients of the primary health care in the Brazilian Unified Health System,http://repositorio.unb.br/handle/10482/30570,2017
Incapacidade para o trabalho : análise dos benefícios auxílio-doença concedidos no estado de Rondônia,http://repositorio.unb.br/handle/10482/28923,2013-11
Educação financeira para vencer crises,https://repositorio.unb.br/handle/10482/41001,2020-11
COVID-19 e o contexto da pandemia : planejamento e implantação de uma Unidade de Aprendizagem Interdisciplinar,https://repositorio.unb.br/handle/10482/39549,2020-08-25
Estudos recentes sobre a rede urbana brasileira : diferenças e complementaridades,http://repositorio.unb.br/handle/10482/12184,2011-11
Percepções de universitários sobre as mudanças climáticas e seus impactos : estudo de caso no Distrito Federal,https://repositorio.unb.br/handle/10482/36496,2019
A internet como forma interativa de busca de informação sobre saúde pelo paciente,http://repositorio.unb.br/handle/10482/11667,2008
Saúde mental e qualidade de vida na moradia estudantil da Universidade de Brasília,http://repositorio.unb.br/handle/10482/32095,2011-03
Chuva de sombrinhas : por uma visão não-hegemônica de bens culturais,http://repositorio2.unb.br/jspui/handle/10482/45784,2022-12-23
Ecology of neotropical mistletoes : an important canopy-dwelling component of Brazilian ecosystems,http://repositorio.unb.br/handle/10482/28388,2012-06
Formação continuada de gestores de escolas públicas do Distrito Federal : fundamentos teóricos e metodológicos,https://repositorio.unb.br/handle/10482/41119,2020
"‘Não fala o nome dele, senão ele vai aparecer aqui’ : interseccionalidade e performance em narrativas de crianças pequenas",http://repositorio2.unb.br/jspui/handle/10482/46548,2022-12-23
Das vizinhanças entre o feminino e a loucura,http://repositorio.unb.br/handle/10482/30337,2016-10
A educação inclusiva e seus obstáculos na instituição escolar,https://repositorio.unb.br/handle/10482/43223,2019-12-17
Ideal culture conditions for Dicyma pulvinata conidia mass production,http://repositorio.unb.br/handle/10482/27444,2009-10
Systematic review of visual illusions in schizophrenia,http://repositorio.unb.br/handle/10482/50440,2023-01-05
Complexity of magnetic-field turbulence at reconnection exhausts in the solar wind at 1 au,https://repositorio.unb.br/handle/10482/42657,2021
Itinerários e métodos do aborto ilegal em cinco capitais brasileiras,http://repositorio.unb.br/handle/10482/14978,2012-07
Emprego de quatro exames imunológicos na determinação da prevalência da doença de Chagas nos garis do serviço de limpeza urbana do Distrito Federal,http://repositorio.unb.br/handle/10482/33965,1996
Saúde mental e gênero : o perfil sociodemográfico de pacientes em um centro de atenção psicossocial,http://repositorio.unb.br/handle/10482/35362,2017-03
A trajetória da gestão pela qualidade nas bibliotecas brasileiras,http://repositorio.unb.br/handle/10482/12975,2012
Biocombustíveis a partir de óleos e gorduras : desafios tecnológicos para viabilizá-los,http://repositorio.unb.br/handle/10482/27457,2009
Conversão do conhecimento : uma intervenção na gestão universitária,http://repositorio.unb.br/handle/10482/12392,2012-07
Monitoramento avançado de enfermagem : pacientes de risco na atenção primária,https://repositorio.unb.br/handle/10482/43679,2022
"""Daí você nasceu minha filha"" : análise discursiva crítica de uma carta ao obstetra",http://repositorio.unb.br/handle/10482/29618,2015-07
Calcaneal tendon plasticity following gastrocnemius muscle injury in rat,https://repositorio.unb.br/handle/10482/35833,2019-09
"Reação de genótipos de maracujazeiro-azedo a Xanthomonas axonopodis pv. passiflorae, em casa de vegetação",http://repositorio.unb.br/handle/10482/6818,2008-01
Concepções de professores da Academia de Polícia Militar de Brasília acerca de seus alunos,http://repositorio.unb.br/handle/10482/29855,2015-10
Genetic diversity of Meloidogyne spp. from rice and identification of multiresistant sources in Oryza spp. accessions,https://repositorio.unb.br/handle/10482/42817,2021-07-22
Commentary : mesenchymal stem cells : a new piece in the puzzle of COVID-19 treatment,https://repositorio.unb.br/handle/10482/42137,2021-04-29
Construção e validação da escala de reações à interface gráfica para cursos de educação a distância,http://repositorio.unb.br/handle/10482/6127,2010
